Id,component number,modularity class,gender,age,horoscope,language (native),locale (current),education (attained),Degree,Weighted Degree,Eccentricity,closness centrality,harmonic closness centrality,betweenesscentrality,clustering,triangles,eigencentrality,"Cluster, Eigencentrality, Harmonic Closeness, Betweeness Score",Degree Score,Eccentricity Score,Total Centrality Score
94,0,10,1,2,5,1,1,3,9,9,11,0.18922,0.278831,0.000004,0.972222,35,0.501149,0.3114422,0.135,0.013636364,0.460078564
20,0,10,1,2,4,1,1,3,11,11,10,0.213178,0.313901,0.009165,0.581818,32,0.518733,0.2430917,0.165,0.015,0.4230917
103,0,10,0,1,11,4,1,3,13,13,9,0.248869,0.355363,0.066207,0.320513,25,0.41525,0.19293595,0.195,0.016666667,0.404602617
153,0,10,0,0,5,3,2,2,4,4,11,0.184564,0.256104,0,1,6,0.223588,0.2719538,0.06,0.013636364,0.345590164
37,0,10,0,0,11,2,4,4,6,6,9,0.23338,0.307484,0.008652,0.4,6,0.207329,0.15895235,0.09,0.016666667,0.265619017
167,0,11,0,1,1,4,4,4,17,17,9,0.249622,0.364959,0.079749,0.161765,22,0.27014,0.14356765,0.255,0.016666667,0.415234317
162,0,11,0,1,2,1,2,4,14,14,9,0.24812,0.353141,0.077081,0.21978,20,0.389348,0.17074555,0.21,0.016666667,0.397412217
174,0,11,1,2,7,1,2,3,11,11,8,0.270049,0.353543,0.287058,0.181818,10,0.097637,0.1614522,0.165,0.01875,0.3452022
179,0,11,1,1,7,1,1,1,3,3,9,0.213454,0.254959,0,1,3,0.016471,0.2407145,0.045,0.016666667,0.302381167
57,0,11,0,0,1,3,4,2,4,4,8,0.235043,0.275664,0.00148,0.833333,5,0.020839,0.21143805,0.06,0.01875,0.29018805
73,0,11,1,2,11,2,1,1,7,7,9,0.239826,0.319505,0.019243,0.380952,8,0.142524,0.14934335,0.105,0.016666667,0.271010017
78,0,11,1,1,9,3,1,1,5,5,8,0.243722,0.289906,0.010351,0.6,6,0.031009,0.17020745,0.075,0.01875,0.26395745
55,0,11,0,1,12,1,1,2,3,3,10,0.202454,0.259355,0.000058,0.666667,2,0.042893,0.1786822,0.045,0.015,0.2386822
131,0,11,1,0,5,2,3,4,5,5,9,0.236052,0.308292,0.015804,0.3,3,0.094399,0.12356445,0.075,0.016666667,0.215231117
59,0,11,1,1,1,1,2,2,5,5,10,0.215405,0.300164,0.007239,0.3,3,0.120407,0.12453345,0.075,0.015,0.21453345
163,0,11,1,0,5,1,1,3,4,4,10,0.208071,0.275921,0.00091,0.333333,2,0.133704,0.12829235,0.06,0.015,0.20329235
129,0,11,0,2,8,3,2,2,6,6,10,0.215686,0.298951,0.00623,0.2,3,0.077271,0.0976793,0.09,0.015,0.2026793
158,0,11,1,1,7,3,1,2,3,3,8,0.25076,0.299098,0.05659,0.333333,1,0.054253,0.13098725,0.045,0.01875,0.19473725
47,0,11,1,3,1,4,3,2,5,5,10,0.217391,0.301477,0.008757,0.2,2,0.065966,0.09686785,0.075,0.015,0.18686785
87,0,11,1,2,12,2,4,4,5,5,10,0.218833,0.306527,0.010029,0.1,1,0.079226,0.07986875,0.075,0.015,0.16986875
26,0,11,1,2,8,1,3,2,3,3,10,0.204208,0.262992,0.000759,0,0,0.037861,0.04527975,0.045,0.015,0.10527975
52,0,11,1,1,8,3,3,2,3,3,10,0.200243,0.254002,0.001365,0,0,0.032351,0.04322595,0.045,0.015,0.10322595
177,0,11,1,2,7,3,2,2,3,3,10,0.198556,0.251578,0.000132,0,0,0.02413,0.0413826,0.045,0.015,0.1013826
101,0,11,1,2,4,1,1,3,2,2,10,0.194118,0.235517,0.000115,0,0,0.010848,0.03697775,0.03,0.015,0.08197775
102,0,11,0,2,7,3,1,2,1,1,10,0.2,0.249153,0,0,0,0.020889,0.0405063,0.015,0.015,0.0705063
123,0,11,0,0,8,1,1,2,1,1,10,0.2,0.249153,0,0,0,0.020889,0.0405063,0.015,0.015,0.0705063
